FISHID,MASS,TRIAL,SMR_contr,CHANGE
32,47.78,Hypoxia,6.15555945315133,16.2326677912339
33,40.35,Hypoxia,5.03084720856665,11.013869597099
34,34.27,Hypoxia,6.08125935687661,-2.55510271204929
35,60.76,Hypoxia,4.85878268654615,-13.1582905762766
36,28.53,Hypoxia,5.73929453802116,-5.5365088946654
37,49.16,Hypoxia,5.72362571390711,-16.7488126694166
38,46.21,Hypoxia,5.11189580231778,-23.382451504564
39,40.18,Hypoxia,4.64673721993264,1.01653373950792
40,39.85,Hypoxia,5.09421842926496,-3.74972697016759
41,38.95,Hypoxia,5.46295084131617,-5.23861544294105
42,47.54,Hypoxia,5.58615075417597,-0.428020686059971
43,49.21,Hypoxia,4.88860337723669,-41.1613152373607
44,44,Hypoxia,5.42387072803229,-0.237198778361812
45,32.96,Hypoxia,6.14740206648685,-0.602093238155335
46,47.4,Hypoxia,4.76149756259054,22.0067043340879
47,46.55,Hypoxia,5.88789536339712,-26.4811095586939
48,45.57,Hypoxia,4.4023279736115,-5.84982354649241
49,39.24,Hypoxia,4.94209292166775,-4.09852786741875
50,59.05,Hypoxia,5.22813630880949,-23.682092705809
51,37.58,Hypoxia,4.74873622976632,-10.3213615126425
52,46.12,Hypoxia,5.25399821258201,12.2781460304814
53,40.16,Hypoxia,4.73719945643686,1.99723776551638
54,55.56,Hypoxia,5.98442863339216,3.63517674810679
55,36.76,Hypoxia,5.12544809378547,-25.2557498727965
56,57.96,Hypoxia,4.37691705054794,1.0149607534924
57,59.75,Hypoxia,5.41490673829449,10.9263873544134
58,46.85,Hypoxia,4.76033900781102,15.3025098717373
59,51.65,Hypoxia,4.61981750643078,46.5694655604436
60,40,Hypoxia,4.92467606490207,-3.59424153966595
